iter	Passed	Remaining
471	660	738
472	661	737
473	662	735
474	663	733
475	664	731
476	665	729
477	666	727
478	667	725
479	667	723
480	668	721
481	669	719
482	670	717
483	671	715
484	672	713
485	673	712
486	674	710
487	675	708
488	675	706
489	676	704
490	677	702
491	678	700
492	679	698
493	680	696
494	680	694
495	681	692
496	682	690
497	683	688
498	684	687
499	685	685
500	685	683
501	686	681
502	687	679
503	688	677
504	689	675
505	690	673
506	691	672
507	692	670
508	692	668
509	693	666
510	694	664
511	695	662
512	696	661
513	697	659
514	698	657
515	699	655
516	699	653
517	700	652
518	701	650
519	702	648
520	703	646
521	704	645
522	705	643
523	706	641
524	707	639
525	707	637
526	708	636
527	709	634
528	710	632
529	711	630
530	712	629
531	713	627
532	714	625
533	715	624
534	716	622
535	716	620
536	717	618
537	718	617
538	719	615
539	720	613
540	721	611
541	721	610
542	722	608
543	723	606
544	724	604
545	725	603
546	726	601
547	727	599
548	728	598
549	728	596
550	729	594
551	730	592
552	731	591
553	732	589
554	733	587
555	734	586
556	734	584
557	735	582
558	736	581
559	737	579
560	738	577
561	739	576
562	739	574
563	740	572
564	741	571
565	742	569
566	743	567
567	744	566
568	745	564
569	746	562
570	747	561
571	747	559
572	748	558
573	749	556
574	750	554
575	751	553
576	752	551
577	753	549
578	753	548
579	754	546
580	755	544
581	756	543
582	757	541
583	758	539
584	758	538
585	759	536
586	760	535
587	761	533
588	762	531
589	763	530
590	764	528
591	764	527
592	765	525
593	766	524
594	767	522
595	768	520
596	769	519
597	770	517
598	770	516
599	771	514
600	772	512
601	773	511
602	774	509
603	775	508
604	776	506
605	777	505
606	777	503
607	778	502
608	779	500
609	780	498
610	781	497
611	782	495
612	782	494
613	783	492
614	784	491
615	785	489
616	786	488
617	787	486
618	788	485
619	788	483
620	789	482
621	790	480
622	791	478
623	792	477
624	793	476
625	794	474
626	794	472
627	795	471
628	796	469
629	797	468
630	798	466
631	799	465
632	800	463
633	800	462
634	801	460
635	802	459
636	803	457
637	804	456
638	805	454
639	805	453
640	806	451
641	807	450
642	808	448
643	809	447
644	810	445
645	811	444
646	811	442
647	812	441
648	813	440
649	814	438
650	815	437
651	816	435
652	816	434
653	817	432
654	818	431
655	819	429
656	820	428
657	821	427
658	822	425
659	823	424
660	824	422
661	825	421
662	825	419
663	826	418
664	827	416
665	828	415
666	829	413
667	830	412
668	830	411
669	831	409
670	832	408
671	833	406
672	834	405
673	835	404
674	836	402
675	837	401
676	837	399
677	838	398
678	839	396
679	840	395
680	841	394
681	842	392
682	843	391
683	843	389
684	844	388
685	845	387
686	846	385
687	847	384
688	848	382
689	849	381
690	849	380
691	850	378
692	851	377
693	852	375
694	853	374
695	854	373
696	854	371
697	855	370
698	856	368
699	857	367
700	858	366
701	859	364
702	860	363
703	860	361
704	861	360
705	862	359
706	863	357
707	864	356
708	865	355
709	865	353
710	866	352
711	867	350
712	868	349
713	869	348
714	870	346
715	870	345
716	871	344
717	872	342
718	873	341
719	874	340
720	875	338
721	876	337
722	876	335
723	877	334
724	878	333
725	879	331
726	880	330
727	881	329
728	882	327
729	882	326
730	883	325
731	884	323
732	885	322
733	886	321
734	887	319
735	888	318
736	888	317
737	889	315
738	890	314
739	891	313
740	892	311
741	893	310
742	894	309
743	895	307
744	895	306
745	896	305
746	897	303
747	898	302
748	899	301
749	900	300
750	900	298
751	901	297
752	902	296
753	903	294
754	904	293
755	905	292
756	906	290
757	906	289
758	907	288
759	908	286
760	909	285
761	910	284
762	911	283
763	912	281
764	913	280
765	913	279
766	914	277
767	915	276
768	916	275
769	917	273
770	918	272
771	918	271
772	919	270
773	920	268
774	921	267
775	922	266
776	923	265
777	924	263
778	925	262
779	925	261
780	926	259
781	927	258
782	928	257
783	929	256
784	930	254
785	931	253
786	931	252
787	932	250
788	933	249
789	934	248
790	935	247
791	936	245
792	937	244
793	937	243
794	938	242
795	939	240
796	940	239
797	941	238
798	942	237
799	943	235
800	944	234
801	944	233
802	945	232
803	946	230
804	947	229
805	948	228
806	949	226
807	950	225
808	950	224
809	951	223
810	952	222
811	953	220
812	954	219
813	955	218
814	956	217
815	956	215
816	957	214
817	958	213
818	959	212
819	960	210
820	960	209
821	961	208
822	962	207
823	963	205
824	964	204
825	965	203
826	966	202
827	967	200
828	967	199
829	968	198
830	969	197
831	970	195
832	971	194
833	972	193
834	973	192
835	973	191
836	974	189
837	975	188
838	976	187
839	977	186
840	978	184
841	978	183
842	979	182
843	980	181
844	981	180
845	982	178
846	983	177
847	984	176
848	985	175
849	985	173
850	986	172
851	987	171
852	988	170
853	989	169
854	990	167
855	990	166
856	991	165
857	992	164
858	993	163
859	994	161
860	995	160
861	996	159
862	996	158
863	997	157
864	998	155
865	999	154
866	1000	153
867	1001	152
868	1001	151
869	1002	149
870	1003	148
871	1004	147
872	1005	146
873	1006	145
874	1007	143
875	1008	142
876	1008	141
877	1009	140
878	1010	139
879	1011	137
880	1012	136
881	1013	135
882	1014	134
883	1015	133
884	1016	132
885	1016	130
886	1017	129
887	1018	128
888	1019	127
889	1022	126
890	1023	125
891	1024	124
892	1025	122
893	1026	121
894	1027	120
895	1028	119
896	1029	118
897	1029	116
898	1030	115
899	1031	114
900	1032	113
901	1033	112
902	1034	111
903	1035	109
904	1035	108
905	1036	107
906	1037	106
907	1038	105
908	1039	104
909	1040	102
910	1041	101
911	1041	100
912	1042	99
913	1043	98
914	1044	97
915	1045	95
916	1046	94
917	1047	93
918	1048	92
919	1048	91
920	1049	90
921	1050	88
922	1051	87
923	1052	86
924	1053	85
925	1054	84
926	1054	83
927	1055	81
928	1056	80
929	1057	79
930	1058	78
931	1059	77
932	1060	76
933	1060	74
934	1061	73
935	1062	72
936	1063	71
937	1064	70
938	1065	69
939	1065	68
940	1066	66
941	1067	65
942	1068	64
943	1069	63
944	1070	62
945	1071	61
946	1071	59
947	1072	58
948	1073	57
949	1074	56
950	1075	55
951	1076	54
952	1077	53
953	1077	51
954	1078	50
955	1079	49
956	1080	48
957	1081	47
958	1082	46
959	1083	45
960	1083	43
961	1084	42
962	1085	41
963	1086	40
964	1087	39
965	1088	38
966	1089	37
967	1089	36
968	1090	34
969	1091	33
970	1092	32
971	1093	31
972	1094	30
973	1095	29
974	1096	28
975	1096	26
976	1097	25
977	1098	24
978	1099	23
979	1100	22
980	1101	21
981	1102	20
982	1102	19
983	1103	17
984	1104	16
985	1105	15
986	1106	14
987	1107	13
988	1108	12
989	1109	11
990	1109	10
991	1110	8
992	1111	7
993	1112	6
994	1113	5
995	1114	4
996	1115	3
997	1116	2
998	1116	1
999	1117	0
